Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Esophagus_Muscularis	1582	2	0.995718663661698	1	ENSG00000141448:ENSG00000100985
DEG.down	Fallopian_Tube	1	0	1	1	
DEG.down	Heart_Atrial_Appendage	7365	33	0.626198158156966	1	ENSG00000134222:ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000026652:ENSG00000175600:ENSG00000099810:ENSG00000176986:ENSG00000172586:ENSG00000214655:ENSG00000166507:ENSG00000148660:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000173145:ENSG00000108239:ENSG00000137656:ENSG00000109917:ENSG00000160584:ENSG00000103995:ENSG00000138593:ENSG00000103591:ENSG00000137764:ENSG00000136381:ENSG00000041357:ENSG00000172775:ENSG00000159579:ENSG00000132801:ENSG00000100982:ENSG00000198026:ENSG00000100985
DEG.down	Heart_Left_Ventricle	8514	38	0.650636062282705	1	ENSG00000031698:ENSG00000143126:ENSG00000134222:ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000026652:ENSG00000175600:ENSG00000099810:ENSG00000176986:ENSG00000196968:ENSG00000214655:ENSG00000166507:ENSG00000148660:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000108239:ENSG00000137656:ENSG00000109917:ENSG00000160584:ENSG00000166147:ENSG00000138593:ENSG00000166949:ENSG00000103591:ENSG00000137764:ENSG00000136381:ENSG00000041357:ENSG00000172775:ENSG00000159579:ENSG00000130164:ENSG00000132801:ENSG00000100982:ENSG00000198026:ENSG00000100985
DEG.down	Kidney_Cortex	5049	26	0.289606802848372	1	ENSG00000134222:ENSG00000134243:ENSG00000146477:ENSG00000026652:ENSG00000122641:ENSG00000099810:ENSG00000176986:ENSG00000166507:ENSG00000148660:ENSG00000185009:ENSG00000173145:ENSG00000108239:ENSG00000137656:ENSG00000109917:ENSG00000160584:ENSG00000166147:ENSG00000138593:ENSG00000189227:ENSG00000137764:ENSG00000136381:ENSG00000136378:ENSG00000159579:ENSG00000141448:ENSG00000130164:ENSG00000100982:ENSG00000198026
DEG.down	Kidney_Medulla	0	0	1	1	
DEG.down	Liver	7196	30	0.795445370691148	1	ENSG00000143126:ENSG00000134222:ENSG00000134243:ENSG00000162650:ENSG00000174151:ENSG00000099810:ENSG00000176986:ENSG00000196968:ENSG00000166507:ENSG00000148660:ENSG00000122861:ENSG00000185009:ENSG00000173145:ENSG00000108239:ENSG00000149968:ENSG00000137656:ENSG00000160584:ENSG00000166147:ENSG00000138593:ENSG00000166949:ENSG00000103591:ENSG00000189227:ENSG00000137764:ENSG00000136381:ENSG00000172775:ENSG00000159579:ENSG00000100979:ENSG00000100982:ENSG00000198026:ENSG00000100985
DEG.down	Lung	820	4	0.52687837274788	1	ENSG00000143126:ENSG00000143028:ENSG00000170006:ENSG00000185345
DEG.down	Minor_Salivary_Gland	1666	12	0.0797361565753237	1	ENSG00000134222:ENSG00000162650:ENSG00000160712:ENSG00000026652:ENSG00000185345:ENSG00000175600:ENSG00000148660:ENSG00000138193:ENSG00000160584:ENSG00000134917:ENSG00000136378:ENSG00000141448
DEG.down	Muscle_Skeletal	6093	20	0.979664629794698	1	ENSG00000143126:ENSG00000174151:ENSG00000099810:ENSG00000196968:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000108239:ENSG00000137656:ENSG00000166147:ENSG00000138593:ENSG00000136378:ENSG00000172775:ENSG00000159579:ENSG00000130164:ENSG00000100979:ENSG00000198026
DEG.down	Nerve_Tibial	784	2	0.882011833871895	1	ENSG00000141448:ENSG00000100985
DEG.down	Ovary	1429	8	0.337693414078501	1	ENSG00000143126:ENSG00000134243:ENSG00000147883:ENSG00000148660:ENSG00000122861:ENSG00000156110:ENSG00000134917:ENSG00000100985
DEG.down	Pancreas	8671	37	0.778600587829878	1	ENSG00000143126:ENSG00000134243:ENSG00000143028:ENSG00000162650:ENSG00000160712:ENSG00000026652:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000172586:ENSG00000214655:ENSG00000166507:ENSG00000148660:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000108239:ENSG00000137656:ENSG00000109917:ENSG00000160584:ENSG00000166147:ENSG00000138593:ENSG00000166949:ENSG00000103591:ENSG00000189227:ENSG00000137764:ENSG00000136381:ENSG00000041357:ENSG00000172775:ENSG00000159579:ENSG00000130164:ENSG00000132801:ENSG00000100982:ENSG00000198026
DEG.down	Pituitary	1752	15	0.0134229355232039	0.72483851825301	ENSG00000134243:ENSG00000143028:ENSG00000170006:ENSG00000146477:ENSG00000175600:ENSG00000148660:ENSG00000122861:ENSG00000149968:ENSG00000134917:ENSG00000166147:ENSG00000103995:ENSG00000136378:ENSG00000141448:ENSG00000130164:ENSG00000100985
DEG.down	Prostate	698	3	0.629641769587922	1	ENSG00000170006:ENSG00000175600:ENSG00000100985
DEG.down	Skin_Not_Sun_Exposed_Suprapubic	2330	9	0.763326663827961	1	ENSG00000134222:ENSG00000143028:ENSG00000026652:ENSG00000148660:ENSG00000138193:ENSG00000134917:ENSG00000166147:ENSG00000136378:ENSG00000141448
DEG.down	Skin_Sun_Exposed_Lower_leg	2123	9	0.656944080255588	1	ENSG00000134222:ENSG00000143028:ENSG00000162650:ENSG00000026652:ENSG00000175600:ENSG00000138193:ENSG00000136378:ENSG00000141448:ENSG00000100985
DEG.down	Small_Intestine_Terminal_Ileum	1257	7	0.359775483354384	1	ENSG00000143126:ENSG00000134222:ENSG00000143028:ENSG00000026652:ENSG00000185345:ENSG00000156110:ENSG00000189227
DEG.down	Spleen	1930	8	0.677884255356916	1	ENSG00000134243:ENSG00000143028:ENSG00000146477:ENSG00000185345:ENSG00000134917:ENSG00000166147:ENSG00000138593:ENSG00000189227
DEG.down	Stomach	2290	11	0.491630318807425	1	ENSG00000143126:ENSG00000134222:ENSG00000162650:ENSG00000026652:ENSG00000122641:ENSG00000147883:ENSG00000196968:ENSG00000156110:ENSG00000189227:ENSG00000136378:ENSG00000100985
DEG.down	Testis	2599	10	0.777402062544078	1	ENSG00000160712:ENSG00000146477:ENSG00000122641:ENSG00000099810:ENSG00000148660:ENSG00000122861:ENSG00000138193:ENSG00000166949:ENSG00000130164:ENSG00000100985
DEG.down	Thyroid	976	9	0.0355110358660432	1	ENSG00000134222:ENSG00000160712:ENSG00000146477:ENSG00000185345:ENSG00000175600:ENSG00000122641:ENSG00000147883:ENSG00000149968:ENSG00000134917
DEG.down	Uterus	788	3	0.710277882194422	1	ENSG00000143126:ENSG00000149968:ENSG00000100985
DEG.down	Vagina	598	3	0.523953770031243	1	ENSG00000185345:ENSG00000149968:ENSG00000100985
